Country,Year,book,cinema,concert,museum,theater
Sweden,2012,25.416666666666668,45.833333333333336,6.166666666666667,14.416666666666666,8.833333333333334
Sweden,2013,26.916666666666668,44.75,6.583333333333333,16.0,9.166666666666666
Sweden,2014,28.666666666666668,45.083333333333336,6.416666666666667,16.166666666666668,8.916666666666666
Sweden,2015,30.083333333333332,53.583333333333336,6.666666666666667,17.416666666666668,8.833333333333334
Sweden,2016,33.916666666666664,53.75,8.25,17.666666666666668,8.916666666666666
Sweden,2017,37.0,60.25,8.25,19.0,8.666666666666666
Sweden,2018,37.916666666666664,66.25,8.666666666666666,19.75,8.583333333333334
Sweden,2019,39.166666666666664,63.416666666666664,9.666666666666666,20.916666666666668,9.583333333333334
Sweden,2020,43.25,29.833333333333332,3.5,13.0,4.75
Sweden,2021,42.0,33.0,5.75,13.583333333333334,5.333333333333333
Sweden,2022,41.166666666666664,47.0,13.166666666666666,21.75,7.75
Sweden,2023,43.0,51.166666666666664,15.333333333333334,24.75,8.583333333333334
Sweden,2024,43.916666666666664,46.75,16.333333333333332,24.083333333333332,8.75
Sweden,2025,46.0,41.6,17.8,21.2,8.2
Turkey,2004,51.666666666666664,53.333333333333336,5.25,2.25,17.416666666666668
Turkey,2005,46.5,45.916666666666664,5.666666666666667,1.8333333333333333,14.0
Turkey,2006,33.416666666666664,41.5,4.583333333333333,1.5,12.666666666666666
Turkey,2007,29.333333333333332,38.25,4.25,1.5833333333333333,10.083333333333334
Turkey,2008,26.75,54.916666666666664,4.583333333333333,1.5,8.916666666666666
Turkey,2009,26.833333333333332,62.083333333333336,3.8333333333333335,1.6666666666666667,7.333333333333333
Turkey,2010,26.666666666666668,56.916666666666664,4.083333333333333,1.4166666666666667,7.0
Turkey,2011,27.833333333333332,54.666666666666664,3.75,1.3333333333333333,6.75
Turkey,2012,26.75,51.5,4.0,1.1666666666666667,6.333333333333333
Turkey,2013,28.166666666666668,47.083333333333336,4.0,1.25,5.666666666666667
Turkey,2014,30.583333333333332,54.916666666666664,3.75,1.0833333333333333,5.833333333333333
Turkey,2015,33.916666666666664,54.916666666666664,3.6666666666666665,1.0,5.833333333333333
Turkey,2016,37.833333333333336,53.25,3.5833333333333335,1.0,6.583333333333333
