Date,concert,cinema,museum,book,theater,Country
2013-09-01,1,36,5,68,16,Brazil
2013-10-01,1,37,5,61,15,Brazil
2013-11-01,1,38,5,66,14,Brazil
2013-12-01,1,38,4,54,10,Brazil
2014-01-01,1,46,5,51,11,Brazil
2014-02-01,1,36,4,61,12,Brazil
2014-03-01,1,45,5,65,15,Brazil
2014-04-01,1,47,6,66,16,Brazil
2014-05-01,1,43,6,68,17,Brazil
2014-06-01,1,54,5,57,12,Brazil
2014-07-01,1,53,7,60,16,Brazil
2014-08-01,1,42,6,71,17,Brazil
2014-09-01,1,39,6,70,17,Brazil
2014-10-01,1,44,6,63,14,Brazil
2014-11-01,1,46,5,70,15,Brazil
2014-12-01,1,46,5,53,11,Brazil
2015-01-01,1,55,7,50,12,Brazil
2015-02-01,1,66,5,66,12,Brazil
2015-03-01,1,46,6,72,16,Brazil
2015-04-01,1,65,6,77,15,Brazil
2015-05-01,1,45,6,74,15,Brazil
2015-06-01,1,52,6,71,15,Brazil
2015-07-01,1,67,6,59,15,Brazil
